Number,Label,Length_px
74,FR_NTR1_C1_M_HEAD_3.tif,402.604
75,FR_NTR1_C1_M_HEAD_4.tif,413.977
76,FR_NTR1_C1_M_HEAD_5.tif,381.698
77,FR_NTR1_C1_M_HEAD_6.tif,430.768
78,FR_NTR1_C1_M_HEAD_7.tif,356.093
79,FR_NTR1_C1_M_HEAD_8.tif,429.197
80,FR_NTR1_C1_M_HEAD_9.tif,440.114
61,FR_NTR1_C1_M_TARSUS_1.tif,84.404
62,FR_NTR1_C1_M_TARSUS_10.tif,84.528
63,FR_NTR1_C1_M_TARSUS_11.tif,85.428
64,FR_NTR1_C1_M_TARSUS_12.tif,81.32
65,FR_NTR1_C1_M_TARSUS_13.tif,100.319
66,FR_NTR1_C1_M_TARSUS_14.tif,68.505
67,FR_NTR1_C1_M_TARSUS_15.tif,85.802
68,FR_NTR1_C1_M_TARSUS_16.tif,86.093
69,FR_NTR1_C1_M_TARSUS_17.tif,74.653
70,FR_NTR1_C1_M_TARSUS_18.tif,100.02
71,FR_NTR1_C1_M_TARSUS_19.tif,97.129
72,FR_NTR1_C1_M_TARSUS_2.tif,90.05
73,FR_NTR1_C1_M_TARSUS_20.tif,80.1
74,FR_NTR1_C1_M_TARSUS_3.tif,82.201
75,FR_NTR1_C1_M_TARSUS_4.tif,86.47
76,FR_NTR1_C1_M_TARSUS_5.tif,90
77,FR_NTR1_C1_M_TARSUS_6.tif,86.493
78,FR_NTR1_C1_M_TARSUS_7.tif,69.354
79,FR_NTR1_C1_M_TARSUS_8.tif,86.729
80,FR_NTR1_C1_M_TARSUS_9.tif,101
61,FR_NTR1_C1_M_THORAX_1.tif,414.035
62,FR_NTR1_C1_M_THORAX_10.tif,434.236
63,FR_NTR1_C1_M_THORAX_11.tif,472.411
64,FR_NTR1_C1_M_THORAX_12.tif,373.129
65,FR_NTR1_C1_M_THORAX_13.tif,462.709
66,FR_NTR1_C1_M_THORAX_14.tif,367.202
67,FR_NTR1_C1_M_THORAX_15.tif,437.635
68,FR_NTR1_C1_M_THORAX_16.tif,461.525
69,FR_NTR1_C1_M_THORAX_17.tif,366.111
70,FR_NTR1_C1_M_THORAX_18.tif,496.488
71,FR_NTR1_C1_M_THORAX_19.tif,411.03
72,FR_NTR1_C1_M_THORAX_2.tif,454.542
73,FR_NTR1_C1_M_THORAX_20.tif,500.729
74,FR_NTR1_C1_M_THORAX_3.tif,446.74
75,FR_NTR1_C1_M_THORAX_4.tif,444.617
76,FR_NTR1_C1_M_THORAX_5.tif,416
77,FR_NTR1_C1_M_THORAX_6.tif,447.219
78,FR_NTR1_C1_M_THORAX_7.tif,377.915
79,FR_NTR1_C1_M_THORAX_8.tif,483.988
80,FR_NTR1_C1_M_THORAX_9.tif,484.661
61,FR_NTR1_C1_M_TIBIA_1.tif,244.902
62,FR_NTR1_C1_M_TIBIA_10.tif,217.83
63,FR_NTR1_C1_M_TIBIA_11.tif,246.416
64,FR_NTR1_C1_M_TIBIA_12.tif,201.062
65,FR_NTR1_C1_M_TIBIA_13.tif,245.579
66,FR_NTR1_C1_M_TIBIA_14.tif,192.751
67,FR_NTR1_C1_M_TIBIA_15.tif,234.105
68,FR_NTR1_C1_M_TIBIA_16.tif,249.239
69,FR_NTR1_C1_M_TIBIA_17.tif,202.054
70,FR_NTR1_C1_M_TIBIA_18.tif,257.402
71,FR_NTR1_C1_M_TIBIA_19.tif,238.271
72,FR_NTR1_C1_M_TIBIA_2.tif,224.377
73,FR_NTR1_C1_M_TIBIA_20.tif,227.271
74,FR_NTR1_C1_M_TIBIA_3.tif,239.708
75,FR_NTR1_C1_M_TIBIA_4.tif,233.925
76,FR_NTR1_C1_M_TIBIA_5.tif,228.65
77,FR_NTR1_C1_M_TIBIA_6.tif,241.183
78,FR_NTR1_C1_M_TIBIA_7.tif,204.482
79,FR_NTR1_C1_M_TIBIA_8.tif,250.799
80,FR_NTR1_C1_M_TIBIA_9.tif,256.72
61,FR_NTR1_C1_M_WING_1.tif,995.701
62,FR_NTR1_C1_M_WING_10.tif,925.605
63,FR_NTR1_C1_M_WING_11.tif,964.658
64,FR_NTR1_C1_M_WING_12.tif,795.11
65,FR_NTR1_C1_M_WING_13.tif,1005.55
66,FR_NTR1_C1_M_WING_14.tif,837.54
67,FR_NTR1_C1_M_WING_15.tif,960.752
68,FR_NTR1_C1_M_WING_16.tif,977.315
69,FR_NTR1_C1_M_WING_17.tif,858.973
70,FR_NTR1_C1_M_WING_18.tif,995.462
71,FR_NTR1_C1_M_WING_19.tif,1076.521
72,FR_NTR1_C1_M_WING_2.tif,914.07
73,FR_NTR1_C1_M_WING_20.tif,894.665
74,FR_NTR1_C1_M_WING_3.tif,966.729
75,FR_NTR1_C1_M_WING_4.tif,931.738
