"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"SCT","4",1,"M","15",9.23491021589725,9.77428651403551,7.4840902610584,9.93393988223312,9.00102589666209,10.9144173837677,0.177767392931189
"SCT","4",1,"M","16",9.10475404785472,9.72761160388395,7.46324155128925,9.81765613834937,8.86091183309471,10.8999481343218,0.061483649047446
"SCT","4",1,"M","17",9.13323240756237,9.70289388691018,7.49336807464641,9.85886439385625,8.86712010367197,10.947140409349,0.102691904554321
"SCT","4",1,"M","18",8.98057660812601,9.75462114492237,7.49521352441289,9.89486668133506,8.96367591647594,10.883677201418,0.138694192033135
"SCT","4",1,"M","19",8.839825349095,9.48280819527037,7.22273655871459,9.52518910699379,8.62696591851767,10.6935424114224,-0.230983382308136
"SCT","4",1,"M","2",9.0588748883492,9.74909053612753,7.58206731307762,9.85799718287186,8.9259843693725,10.9177753062215,0.101824693569935
"SCT","4",1,"M","20",8.80130134146714,9.65215385249405,7.38617562039222,9.60087432392242,8.78347769918179,NA,-0.155298165379504
"SCT","4",1,"M","3",9.05839178752768,9.65749998460316,7.58289332228433,9.77347730785462,8.87641125246626,10.8990476645954,0.0173048185526934
"SCT","4",1,"M","4",9.05897048287948,9.5833026515669,7.35862886832822,9.67880317311859,8.82647549211393,NA,-0.0773693161833364
"SCT","4",1,"M","5",8.88413303888528,9.72018625224181,7.53915687200049,9.65423007824477,8.87900117533789,10.8215477461295,-0.101942411057154
"SCT","4",1,"M","6",9.14372640890818,9.72186188043021,7.58016148842226,9.82551169486438,8.82861364977865,10.9017277528822,0.0693392055624535
"SCT","4",1,"M","7",9.17206252478827,9.79027301172219,7.59526867295154,9.86719193550917,8.93797237630451,10.8675596584922,0.111019446207246
"SCT","4",1,"M","8",8.95270221388901,9.68954757439673,7.38840357275825,9.73606287296469,8.77321667136203,10.81276078281,-0.0201096163372387
"SCT","4",1,"M","9",8.89979083847427,9.56592506778898,7.3791003399023,9.6667439319229,8.75094784825303,10.8347608913286,-0.0894285573790246
